#Date, time, sensornum, avgWatts
2015 01 31, 21:24, 1, 388.44002557
2015 01 31, 21:24, 1, 403.356831733
2015 01 31, 21:24, 1, 428.492711656
2015 01 31, 21:24, 1, 436.702908877
2015 01 31, 21:24, 1, 467.043776662
2015 01 31, 21:24, 1, 475.602893974
2015 01 31, 21:24, 1, 482.018032733
2015 01 31, 21:25, 1, 287.432925374
2015 01 31, 21:26, 1, 839.821524781
2015 01 31, 21:26, 1, 810.650981278
2015 01 31, 21:26, 1, 832.183943394
2015 01 31, 21:26, 1, 830.769453435
2015 01 31, 21:26, 1, 832.738760942
2015 01 31, 21:26, 1, 819.264493185
2015 01 31, 21:26, 1, 834.299074847
2015 01 31, 21:26, 1, 842.164414644
2015 01 31, 21:26, 1, 849.695425845
2015 01 31, 21:26, 1, 851.938300547
2015 01 31, 21:26, 1, 852.55777404
2015 01 31, 21:26, 1, 831.294411969
2015 01 31, 21:26, 1, 832.662431725
2015 01 31, 21:26, 1, 804.802740377
2015 01 31, 21:26, 1, 833.089607456
2015 01 31, 21:27, 1, 850.703343182
2015 01 31, 21:28, 1, 900.140266976
2015 01 31, 21:28, 1, 899.584346824
2015 01 31, 21:28, 1, 880.537066742
2015 01 31, 21:28, 1, 888.071743866
2015 01 31, 21:28, 1, 889.568121333
2015 01 31, 21:28, 1, 848.625547148
2015 01 31, 21:28, 1, 858.341051723
2015 01 31, 21:28, 1, 859.334105217
2015 01 31, 21:28, 1, 859.609586707
2015 01 31, 21:28, 1, 860.040464488
2015 01 31, 21:28, 1, 844.625466478
2015 01 31, 21:28, 1, 871.296277806
2015 01 31, 21:28, 1, 870.731869509
2015 01 31, 21:28, 1, 870.250519913
2015 01 31, 21:28, 1, 855.376263775
2015 01 31, 21:28, 1, 864.336963626
2015 01 31, 21:28, 1, 862.415895125
2015 01 31, 21:28, 1, 868.967973533
2015 01 31, 21:28, 1, 866.80687898
2015 01 31, 21:28, 1, 853.605904138
2015 01 31, 21:28, 1, 858.298428256
